Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot75,"toaddsworth",hard,17,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","2","21:19:25","21:21:33",
Bot77,"Helldiver",hard,11,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","21:19:25","21:22:01",
Bot78,"Clerance",hard,21,Completed,"Postman Pat - Part 1","Item Sealed letter","1","21:19:25","21:21:18",
Bot78,"Clerance",hard,21,Completed,"Scout","Zone place_pacemaker_SCOUT_02","1","21:21:23","21:22:32",
Bot78,"Clerance",hard,21,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","21:22:37","21:24:41",
Bot76,"ItsRenke",hard,20,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","21:19:25","21:22:32",
