Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot67,"Junko Space Mommy",hard,25,Completed,"Power Station Switch","Power Station Switch: Objective #1","2","18:06:06","18:06:24",
Bot67,"Junko Space Mommy",hard,25,Failed,"Vitamins - Part 1","Item Chemical container #2","1","18:06:30","18:10:02",
Bot68,"Kronzky",hard,32,Completed,"Railway Stashes","Railway Stashes: Objective #1","1","18:06:06","18:06:33",
Bot68,"Kronzky",hard,32,Completed,"Railway Stashes","Railway Stashes: Objective #2","1","18:06:38","18:06:43",
Bot68,"Kronzky",hard,32,Completed,"Railway Stashes","Railway Stashes: Objective #3","1","18:06:49","18:06:59",
Bot68,"Kronzky",hard,32,Completed,"Railway Stashes","Railway Stashes: Objective #4","1","18:07:04","18:07:14",
Bot68,"Kronzky",hard,32,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","18:07:19","18:07:35",
Bot68,"Kronzky",hard,32,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","18:07:40","18:12:09",
Bot68,"Kronzky",hard,32,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","18:12:14","18:13:51",
Bot69,"ChiNoel",hard,14,Completed,"OLI Loading Dock","OLI Loading Dock: Objective #6","1","18:06:07","18:07:32",
Bot69,"ChiNoel",hard,14,Completed,"OLI Loading Dock","OLI Loading Dock: Objective #5","1","18:07:37","18:07:54",
Bot69,"ChiNoel",hard,14,Completed,"OLI Loading Dock","OLI Loading Dock: Objective #4","1","18:07:59","18:08:29",
Bot69,"ChiNoel",hard,14,Completed,"OLI Loading Dock","OLI Loading Dock: Objective #3","1","18:08:34","18:09:30",
Bot69,"ChiNoel",hard,14,Completed,"OLI Loading Dock","OLI Loading Dock: Objective #2","1","18:09:35","18:10:14",
Bot69,"ChiNoel",hard,14,Completed,"OLI Loading Dock","OLI Loading Dock: Objective #1","1","18:10:19","18:10:27",
Bot69,"ChiNoel",hard,14,Failed,"OLI SE Office","OLI SE Office: Objective #1","1","18:10:32","18:10:38",
Bot73,"nooky",hard,21,Failed,"Techlight","Techlight: Objective #2","1","18:06:12","18:08:30",
Bot73,"nooky",hard,21,Completed,"Techlight","Techlight: Objective #1","3","18:08:35","18:09:54",
Bot73,"nooky",hard,21,Failed,"Database - Part 2","Item OLI cargo route documents","1","18:09:59","18:14:20",
Bot74,"ChazLTK",hard,5,Failed,"DOM","DOM: Objective #2","1","18:06:12","18:14:43",
Bot75,"Conqueror_Alex",hard,16,Failed,"Big Sale","Zone place_SALE_03_TREND","1","18:06:14","18:06:45",
Bot75,"Conqueror_Alex",hard,16,Failed,"Big Sale","Zone place_SALE_03_DINO","1","18:06:50","18:14:15",
Bot76,"PreyToLive",hard,1,Pending,"Railway Stashes","Railway Stashes: Objective #4","1","18:06:15","N/A",
Bot77,"Lavax",hard,13,Completed,"Emercom Tank","Emercom Tank: Objective #1","1","18:06:16","18:07:42",
Bot77,"Lavax",hard,13,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #1","1","18:07:47","18:15:31",
Bot77,"Lavax",hard,13,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #4","1","18:15:36","18:16:01",
Bot77,"Lavax",hard,13,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #6","1","18:16:06","18:16:25",
Bot77,"Lavax",hard,13,Completed,"OLI Logistics Area","OLI Logistics Area: Objective #3","1","18:16:30","18:16:52",
Bot77,"Lavax",hard,13,Failed,"OLI Logistics Area","OLI Logistics Area: Objective #5","1","18:16:58","18:18:41",
Bot77,"Lavax",hard,13,Completed,"OLI Logistics Back Offices","OLI Logistics Back Offices: Objective #1","1","18:18:46","18:18:58",
Bot77,"Lavax",hard,13,Completed,"OLI Showroom East","OLI Showroom East: Objective #2","1","18:19:03","18:20:58",
Bot77,"Lavax",hard,13,Completed,"OLI Showroom East","OLI Showroom East: Objective #1","1","18:21:03","18:21:34",
Bot77,"Lavax",hard,13,Failed,"OLI Showroom East","OLI Showroom East: Objective #3","1","18:21:39","18:29:49",
Bot77,"Lavax",hard,13,Failed,"OLI Showroom East","OLI Showroom East: Objective #4","1","18:25:01","18:29:49",
Bot78,"NugentGL",hard,31,Failed,"Minibus","Zone place_merch_21_3","1","18:06:20","18:26:48",
