Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot225,"MoxoPixel",hard,10,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","23:02:04","23:03:56",
Bot225,"MoxoPixel",hard,10,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","23:04:01","23:10:08",
Bot226,"YankeeNoodle742",hard,10,Failed,"Introduction","Item Encrypted message","1","23:02:05","23:09:52",
Bot227,"halik92",hard,1,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","23:02:06","23:04:14",
Bot227,"halik92",hard,1,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","23:04:19","23:06:16",
Bot227,"halik92",hard,1,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","23:06:21","23:06:40",
Bot227,"halik92",hard,1,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","23:06:45","23:07:23",
Bot227,"halik92",hard,1,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","23:07:29","23:07:55",
Bot227,"halik92",hard,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","23:08:00","23:09:15",
Bot227,"halik92",hard,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","23:09:20","23:09:39",
Bot227,"halik92",hard,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","23:09:44","23:10:07",
Bot227,"halik92",hard,1,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","23:10:13","23:11:57",
Bot227,"halik92",hard,1,Completed,"Ambulance","Ambulance: Objective #1","1","23:12:02","23:12:40",
Bot227,"halik92",hard,1,Completed,"Scav Base","Scav Base: Objective #3","1","23:12:45","23:13:50",
Bot227,"halik92",hard,1,Completed,"Scav Base","Scav Base: Objective #2","4","23:13:55","23:15:05",
Bot227,"halik92",hard,1,Completed,"Scav Base","Scav Base: Objective #4","2","23:15:10","23:15:37",
Bot227,"halik92",hard,1,Failed,"Scav Base","Scav Base: Objective #1","4","23:15:42","23:16:33",
Bot227,"halik92",hard,1,Completed,"Scav Base Sniping","Scav Base Sniping: Objective #1","2","23:16:38","23:17:58",
Bot227,"halik92",hard,1,Completed,"Sawmill Beach Sniping","Sawmill Beach Sniping: Objective #1","2","23:18:03","23:19:27",
Bot227,"halik92",hard,1,Failed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","23:19:32","23:22:49",
Bot228,"大熊",hard,18,Failed,"Scav Base","Scav Base: Objective #2","1","23:02:07","23:03:22",
Bot229,"Swankyorc",hard,13,Failed,"Old Sawmill","Old Sawmill: Objective #1","1","23:02:08","23:03:35",
Bot232,"RedBeard",hard,14,Failed,"Scav House Sniping","Scav House Sniping: Objective #2","2","23:02:11","23:09:46",
Bot232,"RedBeard",hard,14,Completed,"Scav House Sniping","Scav House Sniping: Objective #3","2","23:02:26","23:04:44",
Bot232,"RedBeard",hard,14,Completed,"Scav House Sniping","Scav House Sniping: Objective #1","2","23:04:49","23:06:54",
Bot232,"RedBeard",hard,14,Completed,"Scav House","Scav House: Objective #1","1","23:07:00","23:07:29",
Bot232,"RedBeard",hard,14,Completed,"Dead Man's Place","Dead Man's Place: Objective #1","1","23:07:34","23:08:20",
Bot232,"RedBeard",hard,14,Failed,"Sawmill Shack","Sawmill Shack: Objective #1","1","23:08:25","23:09:46",
Bot233,"Hupfi",hard,3,Completed,"Dead Man's Place","Dead Man's Place: Objective #1","1","23:02:12","23:10:41",
Bot233,"Hupfi",hard,3,Completed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","23:10:46","23:11:41",
Bot233,"Hupfi",hard,3,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","23:11:46","23:12:23",
Bot233,"Hupfi",hard,3,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","23:12:28","23:16:33",
Bot233,"Hupfi",hard,3,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","23:16:34","23:21:49",
Bot233,"Hupfi",hard,3,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","23:21:54","23:22:59",
Bot233,"Hupfi",hard,3,Failed,"Old Sawmill","Old Sawmill: Objective #3","1","23:23:05","23:24:43",
Bot233,"Hupfi",hard,3,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","23:24:48","23:25:07",
Bot233,"Hupfi",hard,3,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","23:25:12","23:26:01",
Bot233,"Hupfi",hard,3,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","23:26:06","23:26:37",
Bot233,"Hupfi",hard,3,Completed,"Spine","Spine: Objective #2","1","23:26:43","23:27:46",
Bot233,"Hupfi",hard,3,Completed,"Spine","Spine: Objective #1","1","23:27:51","23:28:04",
Bot233,"Hupfi",hard,3,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","23:28:09","23:29:10",
Bot233,"Hupfi",hard,3,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","23:29:15","23:29:35",
Bot233,"Hupfi",hard,3,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","23:29:40","23:30:01",
Bot233,"Hupfi",hard,3,Completed,"Scav Town","Scav Town: Objective #2","1","23:30:06","23:33:58",
Bot233,"Hupfi",hard,3,Completed,"Scav Town","Scav Town: Objective #1","3","23:34:03","23:35:52",
Bot233,"Hupfi",hard,3,Active,"Scav Town","Scav Town: Objective #5","1","23:35:57","N/A",
Bot234,"nooky",hard,20,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","23:02:13","23:03:27",
Bot234,"nooky",hard,20,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","23:03:32","23:03:51",
Bot234,"nooky",hard,20,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","23:03:57","23:04:15",
Bot234,"nooky",hard,20,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","23:04:20","23:04:28",
Bot234,"nooky",hard,20,Completed,"Steady Signal","Zone q14_8_1","1","23:04:33","23:06:05",
Bot234,"nooky",hard,20,Completed,"Steady Signal","Zone q14_8_3","1","23:06:10","23:08:38",
Bot234,"nooky",hard,20,Completed,"Steady Signal","Zone q14_8_2","1","23:08:43","23:11:01",
Bot234,"nooky",hard,20,Completed,"Supply Plans","Item Secure Folder 0052","1","23:11:07","23:18:41",
Bot234,"nooky",hard,20,Failed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","23:18:46","23:20:57",
Bot235,"ODT",hard,11,Failed,"USEC Camp South","USEC Camp South: Objective #3","1","23:02:14","23:17:25",
