Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot16,"CreamCheese",hard,27,Pending,"Scout","Zone place_pacemaker_SCOUT_03","1","12:49:19","N/A",
Bot17,"jfetko",hard,4,Active,"Spawn Rush","Spawn Rush: Objective #1","1","12:49:19","N/A",
Bot14,"Kaeno",hard,16,Active,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","12:49:19","N/A",
Bot15,"LuckyCharmT",hard,29,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","12:49:19","12:49:56",
Bot19,"NORVINSK_EVANGELION",hard,19,Active,"Scout","Zone place_pacemaker_SCOUT_04","1","12:49:19","N/A",
Bot18,"_物是人非",hard,5,Pending,"Forklift","Forklift: Objective #1","1","12:49:19","N/A",
