Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot63,"NORVINSK_EVANGELION",hard,27,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","15:45:41","15:46:12",
Bot63,"NORVINSK_EVANGELION",hard,27,Failed,"Farming - Part 3","Item Package of graphics cards","1","15:46:17","15:46:23",
Bot63,"NORVINSK_EVANGELION",hard,27,Failed,"Bullshit","Item Flash drive with fake info","1","15:46:28","15:48:57",
Bot64,"adudewithbadaim",hard,11,Failed,"Delivery From the Past","Item Secure Folder 0022","1","15:45:42","15:49:41",
Bot68,"DocYen",hard,4,Failed,"RUAF Crossing Camping","RUAF Crossing Camping: Objective #1","1","15:45:46","15:54:55",
Bot68,"DocYen",hard,4,Failed,"RUAF Crossing Camping","RUAF Crossing Camping: Objective #2","1","15:46:01","15:54:55",
Bot68,"DocYen",hard,4,Completed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","15:46:01","15:48:06",
Bot68,"DocYen",hard,4,Completed,"Crackhouse","Crackhouse: Objective #4","1","15:48:11","15:48:25",
Bot68,"DocYen",hard,4,Completed,"Crackhouse","Crackhouse: Objective #3","1","15:48:30","15:48:43",
Bot68,"DocYen",hard,4,Completed,"Crackhouse","Crackhouse: Objective #2","1","15:48:48","15:48:51",
Bot68,"DocYen",hard,4,Completed,"Crackhouse","Crackhouse: Objective #7","1","15:48:56","15:54:32",
Bot68,"DocYen",hard,4,Failed,"Fortress","Fortress: Objective #4","1","15:54:37","15:54:55",
Bot69,"Refringe",hard,8,Failed,"The Extortionist","Zone dead_posylni","1","15:45:47","15:52:12",
Bot70,"Mihai",hard,20,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","15:45:48","15:53:15",
Bot75,"OkaMoez",hard,16,Completed,"Delivery From the Past","Item Secure Folder 0022","1","15:46:21","15:51:56",
Bot75,"OkaMoez",hard,16,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","15:52:01","15:52:48",
Bot75,"OkaMoez",hard,16,Completed,"Golden Swag","Item Golden Zibbo lighter","1","15:52:49","15:59:47",
Bot75,"OkaMoez",hard,16,Failed,"BP Depot","Zone fuel2","1","15:59:52","16:03:05",
Bot76,"jennacide",hard,1,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","15:46:22","16:06:20",
Bot76,"jennacide",hard,1,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","16:06:25","16:07:21",
Bot76,"jennacide",hard,1,Completed,"Big Red","Big Red: Objective #3","1","16:07:26","16:08:03",
Bot76,"jennacide",hard,1,Completed,"Big Red","Big Red: Objective #2","1","16:08:08","16:08:29",
Bot76,"jennacide",hard,1,Completed,"Big Red","Big Red: Objective #5","1","16:08:34","16:09:15",
Bot76,"jennacide",hard,1,Completed,"Big Red","Big Red: Objective #1","1","16:09:20","16:09:38",
Bot76,"jennacide",hard,1,Completed,"Big Red","Big Red: Objective #4","1","16:09:43","16:10:06",
Bot76,"jennacide",hard,1,Active,"Storage","Storage: Objective #2","1","16:10:11","N/A",
