Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot23,"Claus1978",hard,31,Completed,"Boss Hunter","Spawn Point (318.8 -8.4 352.1)","1","14:51:24","14:51:42",
Bot23,"Claus1978",hard,31,Completed,"Boss Hunter","Spawn Point (218.6 -12.3 279.4)","1","14:51:47","14:52:10",
Bot23,"Claus1978",hard,31,Failed,"Boss Hunter","Spawn Point (365.3 -13.4 360.1)","1","14:52:15","14:52:30",
Bot23,"Claus1978",hard,31,Completed,"Boss Hunter","Spawn Point (90.3 -15.8 116.2)","1","14:52:36","14:53:16",
Bot23,"Claus1978",hard,31,Completed,"Boss Hunter","Spawn Point (125.9 0.3 4.9)","1","14:53:21","14:54:00",
Bot23,"Claus1978",hard,31,Completed,"Boss Hunter","Spawn Point (87.8 -15.9 114.7)","1","14:54:05","14:54:37",
Bot23,"Claus1978",hard,31,Completed,"Boss Hunter","Spawn Point (213.5 -14.7 292.0)","1","14:54:42","14:55:45",
Bot23,"Claus1978",hard,31,Completed,"Boss Hunter","Spawn Point (442.5 -17.5 261.2)","1","14:55:50","14:57:09",
Bot23,"Claus1978",hard,31,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","14:57:15","14:59:11",
Bot23,"Claus1978",hard,31,Failed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","14:59:16","14:59:16",
Bot23,"Claus1978",hard,31,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","14:59:21","15:07:32",
Bot26,"GeorgRavioli",hard,4,Completed,"Introduction","Item Encrypted message","1","14:51:27","14:56:23",
Bot26,"GeorgRavioli",hard,4,Failed,"Scav Base","Scav Base: Objective #2","1","14:56:28","14:58:09",
Bot27,"OkaMoez",hard,26,Failed,"Steady Signal","Zone q14_8_5","1","14:51:28","14:57:56",
Bot28,"BrandoTheDev",hard,17,Failed,"Old Sawmill","Old Sawmill: Objective #1","1","14:51:29","14:58:06",
Bot29,"aleves",hard,12,Archived,"Spine","Spine: Objective #2","1","14:51:30","14:54:16",
Bot29,"aleves",hard,12,Archived,"Spine","Spine: Objective #1","1","14:54:22","14:54:40",
Bot29,"aleves",hard,12,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","14:54:45","15:00:05",
Bot29,"aleves",hard,12,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","15:00:10","15:01:34",
Bot29,"aleves",hard,12,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","15:01:39","15:02:20",
Bot29,"aleves",hard,12,Completed,"Spine","Spine: Objective #1","1","15:02:25","15:03:19",
Bot29,"aleves",hard,12,Completed,"Spine","Spine: Objective #2","1","15:03:24","15:03:44",
Bot29,"aleves",hard,12,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #2","1","15:03:49","15:06:49",
Bot30,"Ninjaweb",hard,27,Failed,"Health Care Privacy - Part 3","Zone ter_015_area_1","1","14:51:32","15:10:12",
Bot31,"JaydanCan",hard,38,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","14:51:33","15:10:45",
Bot31,"JaydanCan",hard,38,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","15:10:50","15:12:23",
Bot31,"JaydanCan",hard,38,Failed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","15:12:28","15:15:37",
Bot37,"McDewgle",hard,38,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","14:52:15","14:52:50",
Bot37,"McDewgle",hard,38,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","14:52:55","14:52:55",
Bot37,"McDewgle",hard,38,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","14:53:00","14:56:00",
Bot37,"McDewgle",hard,38,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","14:56:05","15:02:18",
Bot37,"McDewgle",hard,38,Completed,"Informed Means Armed","Zone place_skier_11_1","2","15:02:23","15:08:07",
Bot38,"Rhyufer",hard,4,Pending,"Introduction","Item Encrypted message","1","14:52:16","N/A",
Bot46,"Юрий Существо (CharlieMike)",normal,1,Completed,"Convoy","Convoy: Objective #1","1","15:11:04","15:12:21",
Bot46,"Юрий Существо (CharlieMike)",normal,1,Completed,"Convoy","Convoy: Objective #2","1","15:12:26","15:12:42",
