Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot106,"skitles55",hard,17,Completed,"Steady Signal","Zone q14_8_5","1","21:39:15","21:40:54",
Bot106,"skitles55",hard,17,Completed,"Steady Signal","Zone q14_8_2","1","21:40:59","21:44:42",
Bot106,"skitles55",hard,17,Completed,"Steady Signal","Zone q14_8_3","1","21:44:47","21:46:14",
Bot106,"skitles55",hard,17,Completed,"Search Mission","Zone pr_scout_col","1","21:46:19","21:47:26",
Bot106,"skitles55",hard,17,Completed,"Search Mission","Zone pr_scout_base","1","21:47:31","21:48:12",
Bot106,"skitles55",hard,17,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","21:48:17","21:48:26",
Bot106,"skitles55",hard,17,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","21:48:31","21:49:30",
Bot106,"skitles55",hard,17,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","21:49:36","21:51:05",
Bot106,"skitles55",hard,17,Completed,"Gratitude","Zone place_THX_15","2","21:51:10","21:54:31",
Bot106,"skitles55",hard,17,Failed,"Supply Plans","Item Secure Folder 0052","1","21:54:36","21:56:18",
Bot108,"Security-Sama",hard,19,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","21:39:16","21:40:00",
Bot108,"Security-Sama",hard,19,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","21:40:05","21:44:42",
Bot108,"Security-Sama",hard,19,Failed,"Steady Signal","Zone q14_8_3","1","21:44:47","21:45:08",
Bot112,"Reis",hard,36,Completed,"Return the Favor","Zone place_keeper5_1","2","21:39:24","21:40:44",
Bot112,"Reis",hard,36,Completed,"Return the Favor","Zone place_keeper5_2","2","21:40:49","21:42:04",
Bot112,"Reis",hard,36,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","21:42:09","21:47:10",
Bot112,"Reis",hard,36,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","21:47:15","21:54:25",
Bot112,"Reis",hard,36,Failed,"Lend-Lease - Part 1","Item Motor Controller #1","1","21:54:30","21:55:21",
Bot112,"Reis",hard,36,Completed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","21:55:26","21:58:21",
Bot112,"Reis",hard,36,Failed,"Sawmill Cabins","Sawmill Cabins: Objective #1","1","21:58:26","21:59:03",
Bot113,"Reis",hard,25,Failed,"Boss Hunter","Spawn Point (348.8 -0.9 -155.9)","1","21:39:25","21:59:35",
Bot117,"Kronzky",hard,10,Completed,"Scav Base","Scav Base: Objective #4","2","21:39:34","21:40:54",
Bot117,"Kronzky",hard,10,Failed,"Scav Base","Scav Base: Objective #1","4","21:40:59","21:41:45",
Bot117,"Kronzky",hard,10,Completed,"Scav Base","Scav Base: Objective #3","1","21:41:50","21:42:02",
