Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot65,"Choccy",hard,23,Completed,"Steady Signal","Zone q14_8_5","1","20:29:16","20:30:43",
Bot65,"Choccy",hard,23,Completed,"Steady Signal","Zone q14_8_2","1","20:30:48","20:33:17",
Bot65,"Choccy",hard,23,Completed,"Steady Signal","Zone q14_8_3","1","20:33:22","20:34:25",
Bot65,"Choccy",hard,23,Failed,"Steady Signal","Zone q14_8_1","1","20:34:30","20:40:57",
Bot66,"NastyInc",hard,19,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","20:29:18","20:30:23",
Bot66,"NastyInc",hard,19,Failed,"Gratitude","Zone place_THX_15","1","20:30:28","20:33:01",
Bot67,"3371",hard,17,Completed,"Search Mission","Zone pr_scout_col","1","20:29:19","20:29:57",
Bot67,"3371",hard,17,Completed,"Search Mission","Zone pr_scout_base","1","20:30:02","20:31:00",
Bot67,"3371",hard,17,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","20:31:05","20:31:13",
Bot67,"3371",hard,17,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","20:31:18","20:33:21",
Bot67,"3371",hard,17,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","20:33:26","20:34:36",
Bot67,"3371",hard,17,Completed,"Convoy","Convoy: Objective #1","1","20:34:41","20:35:29",
Bot67,"3371",hard,17,Completed,"Convoy","Convoy: Objective #2","1","20:35:34","20:35:42",
Bot67,"3371",hard,17,Completed,"Steady Signal","Zone q14_8_1","1","20:35:47","20:37:28",
Bot67,"3371",hard,17,Failed,"Steady Signal","Zone q14_8_3","1","20:37:33","20:38:48",
Bot68,"Bobitec",hard,22,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","20:29:26","20:30:20",
Bot68,"Bobitec",hard,22,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","20:30:25","20:30:38",
Bot68,"Bobitec",hard,22,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","20:30:43","20:31:12",
Bot68,"Bobitec",hard,22,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","20:31:17","20:31:53",
Bot68,"Bobitec",hard,22,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","20:31:58","20:37:45",
Bot69,"adudewithbadaim",hard,21,Completed,"Steady Signal","Zone q14_8_1","1","20:29:27","20:57:21",
Bot69,"adudewithbadaim",hard,21,Completed,"Steady Signal","Zone q14_8_3","1","20:57:26","21:03:30",
Bot69,"adudewithbadaim",hard,21,Completed,"Sunken Village","Sunken Village: Objective #1","1","21:03:35","21:04:17",
Bot69,"adudewithbadaim",hard,21,Active,"Sunken Village","Sunken Village: Objective #3","1","21:04:22","N/A",
Bot72,"DanW",hard,19,Failed,"Supply Plans","Item Secure Folder 0052","1","20:29:30","20:52:36",
Bot72,"DanW",hard,19,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #2","2","20:37:30","20:38:03",
Bot72,"DanW",hard,19,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #1","2","20:38:08","20:38:38",
Bot72,"DanW",hard,19,Completed,"Sawmill Cabins","Sawmill Cabins: Objective #3","1","20:38:43","20:39:00",
Bot72,"DanW",hard,19,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","20:39:05","20:40:59",
Bot72,"DanW",hard,19,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","20:41:05","20:52:36",
Bot73,"Jiro",hard,2,Active,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","20:29:31","N/A",
Bot82,"Extrenz Arnautov",hard,7,Failed,"Introduction","Item Encrypted message","1","20:30:36","20:32:51",
Bot83,"AcidPhantasm",hard,17,Failed,"Steady Signal","Zone q14_8_2","1","20:30:41","20:31:31",
