Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot52,"STUOKD",hard,1,Completed,"Big Red","Big Red: Objective #2","1","15:41:48","15:42:34",
Bot52,"STUOKD",hard,1,Completed,"Big Red","Big Red: Objective #3","1","15:42:39","15:42:58",
Bot52,"STUOKD",hard,1,Failed,"Big Red","Big Red: Objective #5","1","15:43:03","15:43:20",
Bot52,"STUOKD",hard,1,Failed,"Big Red","Big Red: Objective #4","1","15:43:25","15:47:44",
Bot52,"STUOKD",hard,1,Completed,"Storage","Storage: Objective #2","1","15:47:49","15:48:21",
Bot52,"STUOKD",hard,1,Completed,"Storage","Storage: Objective #1","1","15:48:26","15:48:34",
Bot52,"STUOKD",hard,1,Completed,"Storage","Storage: Objective #3","1","15:48:39","15:50:32",
Bot52,"STUOKD",hard,1,Completed,"Storage","Storage: Objective #4","1","15:50:37","15:50:52",
Bot52,"STUOKD",hard,1,Completed,"Storage","Storage: Objective #5","1","15:50:57","15:51:05",
Bot52,"STUOKD",hard,1,Completed,"Storage","Storage: Objective #6","1","15:51:10","15:51:45",
Bot52,"STUOKD",hard,1,Completed,"Storage","Storage: Objective #7","1","15:51:50","15:52:35",
Bot52,"STUOKD",hard,1,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","15:52:40","15:53:13",
Bot52,"STUOKD",hard,1,Completed,"Big Red","Big Red: Objective #1","1","15:53:18","15:54:00",
Bot52,"STUOKD",hard,1,Failed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","15:54:05","15:54:20",
Bot61,"laser50",hard,22,Completed,"Spawn Rush","Spawn Rush: Objective #1","1","15:41:59","15:42:14",
Bot62,"Wrecker",hard,39,Failed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","15:42:00","15:42:15",
Bot63,"Yakhmet",hard,10,Failed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","15:42:01","15:42:18",
Bot64,"Tyfon",hard,19,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","15:42:02","15:43:34",
Bot72,"notGreg",hard,27,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","15:42:44","15:44:31",
Bot72,"notGreg",hard,27,Archived,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","15:44:36","15:45:00",
Bot72,"notGreg",hard,27,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","15:45:05","15:49:00",
Bot72,"notGreg",hard,27,Failed,"Farming - Part 3","Item Package of graphics cards","1","15:49:05","15:49:16",
Bot72,"notGreg",hard,27,Failed,"Bullshit","Item Flash drive with fake info","1","15:49:21","15:55:27",
Bot72,"notGreg",hard,27,Failed,"Bullshit","Zone Q019_3","1","15:55:33","15:55:42",
Bot72,"notGreg",hard,27,Failed,"Big Red","Big Red: Objective #1","1","15:55:43","15:55:43",
Bot72,"notGreg",hard,27,Completed,"Big Red","Big Red: Objective #4","1","15:55:49","16:00:07",
Bot72,"notGreg",hard,27,Active,"Big Red","Big Red: Objective #3","1","16:00:12","N/A",
Bot73,"Clodan",hard,10,Pending,"Golden Swag","Zone extraction_zone_zibbo","1","15:42:45","N/A",
Bot74,"jennacide",hard,22,Pending,"Farming - Part 3","Zone place_SADOVOD_03","1","15:42:47","N/A",
Bot75,"TEOA",hard,23,Pending,"Storage","Storage: Objective #7","1","15:42:49","N/A",
Bot85,"Лаг Золотой (Ratthew)",normal,1,Completed,"Checkpoint","Checkpoint: Objective #1","1","15:58:11","15:58:17",
Bot85,"Лаг Золотой (Ratthew)",normal,1,Pending,"Checkpoint","Checkpoint: Objective #2","1","15:58:22","N/A",
