Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot313,"bandit",hard,2,Completed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","00:31:47","00:32:49",
Bot313,"bandit",hard,2,Completed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","00:32:54","00:33:38",
Bot313,"bandit",hard,2,Completed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","4","00:33:43","00:35:30",
Bot313,"bandit",hard,2,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","00:35:35","00:38:27",
Bot313,"bandit",hard,2,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","00:38:32","00:51:16",
Bot314,"SovietWalrus",hard,3,Failed,"Dead Man's Place","Dead Man's Place: Objective #1","1","00:31:52","00:53:33",
Bot317,"Mr_Pudlik",hard,16,Completed,"Steady Signal","Zone q14_8_2","1","00:32:52","00:34:54",
Bot317,"Mr_Pudlik",hard,16,Completed,"Steady Signal","Zone q14_8_3","1","00:34:59","00:37:57",
Bot317,"Mr_Pudlik",hard,16,Completed,"Steady Signal","Zone q14_8_1","1","00:38:02","00:40:49",
Bot317,"Mr_Pudlik",hard,16,Completed,"Search Mission","Zone pr_scout_base","1","00:40:54","00:41:37",
Bot317,"Mr_Pudlik",hard,16,Completed,"Search Mission","Zone pr_scout_col","1","00:41:42","00:43:27",
Bot317,"Mr_Pudlik",hard,16,Failed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #4","1","00:43:32","00:46:00",
Bot318,"jbs4bmx",hard,1,Failed,"Old Sawmill","Old Sawmill: Objective #1","1","00:32:52","00:48:31",
Bot323,"PreyToLive",hard,1,Archived,"Scav Base Sniping","Scav Base Sniping: Objective #1","2","00:35:10","00:37:32",
Bot323,"PreyToLive",hard,1,Completed,"Scav Base","Scav Base: Objective #2","4","00:37:37","00:39:52",
Bot323,"PreyToLive",hard,1,Completed,"Scav Base","Scav Base: Objective #3","1","00:39:57","00:40:05",
Bot323,"PreyToLive",hard,1,Completed,"Scav Base","Scav Base: Objective #4","2","00:40:11","00:44:46",
Bot323,"PreyToLive",hard,1,Failed,"Scav Base","Scav Base: Objective #1","4","00:44:51","00:45:51",
Bot323,"PreyToLive",hard,1,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","00:45:56","00:46:29",
Bot323,"PreyToLive",hard,1,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","00:46:34","00:46:52",
Bot323,"PreyToLive",hard,1,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","00:46:58","00:49:11",
Bot323,"PreyToLive",hard,1,Failed,"Sawmill Sniping","Sawmill Sniping: Objective #1","1","00:49:16","00:50:43",
Bot330,"Virtual",hard,1,Completed,"Scav Base","Scav Base: Objective #2","4","00:37:08","00:38:27",
