Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot266,"Nasc",hard,25,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","23:01:24","23:02:54",
Bot266,"Nasc",hard,25,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","23:02:59","23:10:39",
Bot266,"Nasc",hard,25,Completed,"Gratitude","Zone place_THX_15","2","23:10:44","23:11:50",
Bot267,"epidemicz",hard,38,Archived,"Scav Base","Scav Base: Objective #4","2","23:01:25","23:02:12",
Bot267,"epidemicz",hard,38,Archived,"Scav Base","Scav Base: Objective #1","4","23:02:17","23:03:17",
Bot267,"epidemicz",hard,38,Archived,"Scav Base","Scav Base: Objective #3","1","23:03:22","23:03:29",
Bot267,"epidemicz",hard,38,Archived,"Scav Base","Scav Base: Objective #2","4","23:03:34","23:06:00",
Bot267,"epidemicz",hard,38,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","23:06:05","23:08:40",
Bot267,"epidemicz",hard,38,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","23:08:46","23:10:01",
Bot267,"epidemicz",hard,38,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","23:10:06","23:14:52",
Bot267,"epidemicz",hard,38,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","23:14:58","23:17:52",
Bot267,"epidemicz",hard,38,Failed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","23:17:57","23:19:08",
Bot267,"epidemicz",hard,38,Failed,"USEC Camp South","USEC Camp South: Objective #3","1","23:19:13","23:19:13",
Bot267,"epidemicz",hard,38,Failed,"USEC Camp South","USEC Camp South: Objective #2","1","23:19:18","23:19:18",
Bot267,"epidemicz",hard,38,Failed,"USEC Camp South","USEC Camp South: Objective #1","1","23:19:23","23:19:23",
Bot267,"epidemicz",hard,38,Failed,"USEC Camp North","USEC Camp North: Objective #1","1","23:19:28","23:19:28",
Bot267,"epidemicz",hard,38,Failed,"USEC Camp North","USEC Camp North: Objective #2","1","23:19:34","23:19:34",
Bot267,"epidemicz",hard,38,Failed,"USEC Camp North","USEC Camp North: Objective #4","1","23:19:39","23:19:39",
Bot267,"epidemicz",hard,38,Failed,"USEC Camp North","USEC Camp North: Objective #3","1","23:19:44","23:19:44",
Bot268,"Hubert",hard,30,Completed,"Steady Signal","Zone q14_8_1","1","23:01:26","23:01:44",
Bot268,"Hubert",hard,30,Failed,"Steady Signal","Zone q14_8_3","1","23:01:49","23:04:34",
Bot271,"Archy",hard,19,Completed,"Supply Plans","Item Secure Folder 0052","1","23:01:39","23:06:37",
Bot271,"Archy",hard,19,Failed,"Gratitude","Zone place_THX_15","1","23:06:42","23:08:25",
Bot272,"VirtualHex",hard,36,Failed,"Lend-Lease - Part 1","Item Motor Controller #1","1","23:01:40","23:05:47",
Bot278,"RedBeard",hard,20,Completed,"Gratitude","Zone place_THX_15","2","23:02:19","23:06:28",
Bot278,"RedBeard",hard,20,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","23:06:34","23:07:34",
Bot278,"RedBeard",hard,20,Failed,"Supply Plans","Item Secure Folder 0052","1","23:07:39","23:11:47",
Bot279,"PoppleO",hard,17,Failed,"Old Sawmill","Old Sawmill: Objective #1","1","23:02:20","23:10:19",
