Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot145,"Queen-Goddess",hard,14,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","17:47:53","17:48:23",
Bot145,"Queen-Goddess",hard,14,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","17:48:28","17:48:44",
Bot146,"Dueleus",hard,3,Completed,"The Huntsman Path - Evil Watchman","Zone huntsman_020","1","17:47:54","17:51:29",
Bot146,"Dueleus",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","17:51:34","17:52:01",
Bot146,"Dueleus",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","17:52:06","17:52:46",
Bot146,"Dueleus",hard,3,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #9","1","17:52:52","17:53:21",
Bot146,"Dueleus",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #1","1","17:53:27","17:53:38",
Bot146,"Dueleus",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #2","1","17:53:44","17:54:06",
Bot146,"Dueleus",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #5","1","17:54:11","17:54:41",
Bot146,"Dueleus",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #3","2","17:54:46","17:55:58",
Bot146,"Dueleus",hard,3,Completed,"Dorms 3 Story","Dorms 3 Story: Objective #10","2","17:56:03","17:57:59",
Bot146,"Dueleus",hard,3,Completed,"Container near Dorms","Container near Dorms: Objective #1","1","17:58:04","17:58:40",
Bot146,"Dueleus",hard,3,Failed,"New Gas","New Gas: Objective #3","1","17:58:45","17:59:25",
Bot147,"Devraccoon",hard,20,Failed,"The Extortionist","Zone dead_posylni","1","17:47:55","17:49:36",
Bot148,"gasmo",hard,20,Completed,"The Extortionist","Zone dead_posylni","1","17:47:55","17:51:29",
Bot148,"gasmo",hard,20,Failed,"The Extortionist","Item Secure Folder 0048","1","17:51:34","17:56:04",
Bot149,"Holynevil",hard,19,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","17:47:57","17:58:06",
Bot149,"Holynevil",hard,19,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","17:58:11","18:02:59",
Bot149,"Holynevil",hard,19,Failed,"Tigr Safari","Zone place_peacemaker_002_N2","1","18:03:04","18:03:32",
Bot149,"Holynevil",hard,19,Failed,"Pharmacist","Zone vaz_feld","1","18:03:38","18:03:51",
Bot149,"Holynevil",hard,19,Failed,"Pharmacist","Item Carbon case","1","18:03:56","18:05:22",
Bot149,"Holynevil",hard,19,Failed,"Pharmacist","Zone room114","1","18:05:28","18:06:05",
Bot149,"Holynevil",hard,19,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","18:06:10","18:06:21",
Bot149,"Holynevil",hard,19,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","18:06:26","18:09:07",
Bot149,"Holynevil",hard,19,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","18:09:12","18:10:06",
Bot149,"Holynevil",hard,19,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","18:10:11","18:10:35",
Bot149,"Holynevil",hard,19,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","18:10:40","18:12:31",
Bot149,"Holynevil",hard,19,Completed,"Dorms Camp 2","Dorms Camp 2: Objective #1","1","18:12:36","18:13:28",
Bot149,"Holynevil",hard,19,Completed,"New Gas","New Gas: Objective #3","1","18:13:33","18:14:45",
Bot149,"Holynevil",hard,19,Completed,"New Gas","New Gas: Objective #2","1","18:14:50","18:16:33",
Bot149,"Holynevil",hard,19,Completed,"New Gas","New Gas: Objective #1","1","18:16:38","18:16:54",
Bot149,"Holynevil",hard,19,Active,"Short Cut","Short Cut: Objective #1","1","18:16:59","N/A",
