Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"PaPaSamBuBu",hard,33,Failed,"Bullshit","Item Flash drive with fake info","1","16:49:30","16:51:01",
Bot2,"PaPaSamBuBu",hard,33,Failed,"Bullshit","Zone Q019_3","1","16:51:06","16:53:58",
Bot3,"DanW",hard,30,Completed,"Military Base CP","Military Base CP: Objective #1","1","16:49:30","16:49:35",
Bot3,"DanW",hard,30,Completed,"Substation","Substation: Objective #1","1","16:49:41","16:50:38",
Bot3,"DanW",hard,30,Completed,"Substation","Substation: Objective #2","1","16:50:43","16:50:46",
Bot3,"DanW",hard,30,Completed,"Substation","Substation: Objective #4","1","16:50:51","16:52:05",
Bot3,"DanW",hard,30,Completed,"Substation","Substation: Objective #3","1","16:52:10","16:55:06",
Bot3,"DanW",hard,30,Completed,"Substation","Substation: Objective #5","1","16:55:11","16:55:51",
Bot3,"DanW",hard,30,Failed,"Train Car","Train Car: Objective #1","1","16:55:57","16:56:29",
Bot3,"DanW",hard,30,Failed,"Giving Tree","Giving Tree: Objective #1","1","16:56:34","16:56:34",
Bot3,"DanW",hard,30,Failed,"The Cult - Part 2","Zone place_peacemaker_007_N1","1","16:56:39","16:56:39",
Bot3,"DanW",hard,30,Failed,"Chumming","Zone place_skier_12_2","1","16:56:45","16:56:45",
Bot3,"DanW",hard,30,Failed,"Bullshit","Zone Q019_3","1","16:56:46","16:56:46",
Bot3,"DanW",hard,30,Failed,"Bullshit","Item Flash drive with fake info","1","16:56:47","16:56:47",
Bot3,"DanW",hard,30,Failed,"Fortress","Fortress: Objective #9","1","16:56:52","16:56:52",
Bot3,"DanW",hard,30,Failed,"Fortress","Fortress: Objective #1","1","16:56:57","16:56:57",
Bot1,"Spock",hard,8,Completed,"Storage","Storage: Objective #1","1","16:49:30","16:49:47",
Bot1,"Spock",hard,8,Completed,"Storage","Storage: Objective #2","1","16:49:52","16:51:09",
Bot1,"Spock",hard,8,Completed,"Storage","Storage: Objective #3","1","16:51:15","16:51:21",
Bot1,"Spock",hard,8,Completed,"Storage","Storage: Objective #4","1","16:51:26","16:51:39",
Bot1,"Spock",hard,8,Completed,"Storage","Storage: Objective #5","1","16:51:44","16:51:58",
Bot1,"Spock",hard,8,Completed,"Storage","Storage: Objective #7","1","16:52:03","16:52:25",
Bot1,"Spock",hard,8,Completed,"Storage","Storage: Objective #6","1","16:52:30","16:52:56",
Bot1,"Spock",hard,8,Failed,"The Extortionist","Zone dead_posylni","1","16:53:01","16:55:27",
Bot6,"CharlieMike",hard,18,Failed,"Operation Aquarius - Part 1","Zone room206_water","1","16:49:42","16:54:32",
Bot7,"jiblet",hard,17,Failed,"Shaking up the Teller","Zone room214","1","16:49:43","16:53:15",
Bot21,"AlfaRenegade",hard,26,Failed,"Bullshit","Item Flash drive with fake info","1","16:50:42","16:55:13",
Bot22,"bitwarrior",hard,8,Completed,"The Extortionist","Zone dead_posylni","1","16:50:43","16:56:37",
Bot22,"bitwarrior",hard,8,Failed,"The Extortionist","Item Secure Folder 0048","1","16:56:42","16:59:23",
