Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Crackbone",hard,3,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","2","20:05:01","20:06:29",
Bot2,"Bnuy",hard,28,Failed,"Farming - Part 1","Zone place_SADOVOD_01_2","1","20:05:02","20:05:45",
Bot3,"王哈桑ザ",hard,21,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","20:05:03","20:05:41",
Bot4,"ixcetotis",hard,17,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","20:05:04","20:06:34",
Bot5,"NORVINSK_EVANGELION",hard,2,Failed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","20:05:05","20:05:32",
Bot6,"igorir3",hard,2,Active,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","20:05:06","N/A",
