Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot172,"Alex",hard,11,Completed,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","19:20:25","19:21:02",
Bot172,"Alex",hard,11,Failed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","19:21:07","19:23:15",
Bot184,"PaPaSamBuBu",hard,27,Completed,"Eagle Eye","Item UAV SAS disk #1","1","19:21:14","19:22:28",
Bot184,"PaPaSamBuBu",hard,27,Failed,"Eagle Eye","Item UAV SAS disk #2","1","19:22:33","19:25:31",
Bot185,"Fiaf",hard,12,Failed,"Spa Tour - Part 2","Zone place_peacemaker_008_2_N2","1","19:21:15","19:26:11",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #2","1","19:21:16","19:22:03",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #3","1","19:22:08","19:22:13",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #5","1","19:22:18","19:22:23",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #6","1","19:22:28","19:25:02",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #7","1","19:25:07","19:25:16",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #4","1","19:25:21","19:25:47",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #1","1","19:25:52","19:26:01",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #8","1","19:26:06","19:26:21",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #10","1","19:26:26","19:26:48",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Upper","Smuggler's Base Upper: Objective #9","1","19:26:53","19:27:08",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #9","1","19:27:13","19:29:19",
Bot186,"Agnotology",hard,4,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #2","1","19:29:24","19:29:41",
