Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot30,"Tyrian",hard,17,Failed,"Delivery From the Past","Item Secure Folder 0022","1","17:33:47","17:34:10",
Bot30,"Tyrian",hard,17,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","17:34:15","17:38:45",
Bot30,"Tyrian",hard,17,Pending,"Tigr Safari","Zone place_peacemaker_002_N1","1","17:38:50","N/A",
Bot36,"Петр Квейк (Alex)",normal,1,Completed,"Fortress","Fortress: Objective #5","1","17:33:49","17:36:38",
Bot36,"Петр Квейк (Alex)",normal,1,Completed,"Fortress","Fortress: Objective #8","3","17:36:43","17:38:27",
Bot36,"Петр Квейк (Alex)",normal,1,Pending,"Fortress","Fortress: Objective #2","1","17:38:32","N/A",
Bot38,"AcidPhantasm",hard,11,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","17:33:51","17:34:10",
Bot38,"AcidPhantasm",hard,11,Failed,"Tigr Safari","Zone place_peacemaker_002_N1","1","17:34:15","17:37:23",
Bot39,"jfetko",hard,21,Pending,"Golden Swag","Item Golden Zibbo lighter","1","17:33:51","N/A",
Bot40,"riku8405",hard,12,Active,"Crackhouse","Crackhouse: Objective #7","1","17:33:52","N/A",
Bot41,"kova",hard,3,Pending,"Crackhouse","Crackhouse: Objective #7","1","17:33:52","N/A",
Bot42,"MadDutch",hard,15,Failed,"The Extortionist","Zone dead_posylni","1","17:33:52","17:38:29",
Bot47,"Tariyihika",hard,5,Failed,"BP Depot","Zone fuel4","1","17:34:51","17:37:01",
Bot47,"Tariyihika",hard,5,Active,"BP Depot","Zone fuel2","1","17:37:06","N/A",
Bot48,"Dueleus",hard,5,Pending,"Storage","Storage: Objective #7","1","17:34:51","N/A",
Bot49,"JustNU",hard,18,Pending,"Golden Swag","Zone extraction_zone_zibbo","1","17:34:51","N/A",
Bot55,"Степан Снайпер (Snofielf)",normal,1,Failed,"Big Red","Big Red: Objective #4","1","17:35:56","17:36:10",
