Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot79,"nooky",hard,13,Completed,"Giving Tree","Giving Tree: Objective #1","1","17:53:44","17:54:21",
Bot79,"nooky",hard,13,Completed,"Old Gas","Old Gas: Objective #1","1","17:54:26","17:54:55",
Bot79,"nooky",hard,13,Completed,"Old Gas","Old Gas: Objective #2","1","17:55:00","17:55:21",
Bot79,"nooky",hard,13,Completed,"Storage Building","Storage Building: Objective #1","1","17:55:26","17:55:42",
Bot79,"nooky",hard,13,Completed,"Storage Building","Storage Building: Objective #2","1","17:55:47","17:55:57",
Bot79,"nooky",hard,13,Active,"Short Cut","Short Cut: Objective #1","1","17:56:02","N/A",
Bot80,"skitles55",hard,8,Completed,"Crackhouse","Crackhouse: Objective #6","2","17:53:44","17:55:31",
Bot82,"NORVINSK_EVANGELION",hard,35,Completed,"Big Red","Big Red: Objective #2","1","17:53:46","17:54:30",
Bot82,"NORVINSK_EVANGELION",hard,35,Completed,"Big Red","Big Red: Objective #3","1","17:54:35","17:54:45",
Bot83,"Dueleus",hard,15,Completed,"Factory Shacks","Factory Shacks: Objective #1","1","17:53:48","17:55:03",
Bot84,"RainbowPC",hard,29,Active,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","17:53:48","N/A",
Bot88,"Agnotology",hard,4,Pending,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","17:53:52","N/A",
Bot87,"F1oridaMan",hard,39,Active,"Crackhouse","Crackhouse: Objective #7","1","17:53:52","N/A",
Bot89,"Архипп Ловелас (Digi)",normal,1,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","17:53:59","17:54:10",
Bot89,"Архипп Ловелас (Digi)",normal,1,Failed,"Fortress","Fortress: Objective #9","1","17:54:15","17:54:21",
Bot90,"Сергей Живчик (王哈桑ザ)",normal,1,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","17:53:59","17:54:08",
Bot90,"Сергей Живчик (王哈桑ザ)",normal,1,Failed,"Garage","Garage: Objective #1","1","17:54:13","17:54:19",
Bot96,"MedDeatH",hard,7,Pending,"Train Car","Train Car: Objective #1","1","17:55:06","N/A",
Bot95,"DannyR121",hard,17,Active,"Checkpoint","Checkpoint: Objective #2","1","17:55:06","N/A",
