Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"ODT",hard,8,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","18:35:34","18:35:36",
Bot4,"ODT",hard,8,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","18:35:41","18:38:38",
Bot5,"3371",hard,11,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","18:35:34","18:35:36",
Bot5,"3371",hard,11,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","18:35:41","18:39:22",
Bot6,"SlejmUr",hard,1,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","18:35:36","18:37:48",
Bot7,"wara",hard,11,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #1","1","18:35:36","18:35:59",
Bot7,"wara",hard,11,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","18:36:04","18:36:52",
Bot7,"wara",hard,11,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","18:36:57","18:37:08",
Bot7,"wara",hard,11,Failed,"Underground Entrance","Underground Entrance: Objective #3","1","18:37:13","18:47:40",
Bot8,"Barlog_M",hard,19,Failed,"Boss Hunter","Spawn Point (130.6 14.1 63.1)","1","18:35:38","18:46:33",
Bot9,"ItsRenke",hard,17,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","18:35:39","18:40:18",
Bot9,"ItsRenke",hard,17,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","18:40:24","18:42:36",
Bot38,"Офицерский Письменный (DjLang)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","18:59:27","19:01:08",
Bot38,"Офицерский Письменный (DjLang)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","3","19:01:13","19:01:42",
Bot38,"Офицерский Письменный (DjLang)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","3","19:01:47","19:03:54",
Bot38,"Офицерский Письменный (DjLang)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","19:03:59","19:04:05",
Bot38,"Офицерский Письменный (DjLang)",normal,1,Completed,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #2","2","19:04:10","19:12:03",
Bot38,"Офицерский Письменный (DjLang)",normal,1,Active,"TerraGroup Office Upstairs Sniping","TerraGroup Office Upstairs Sniping: Objective #1","2","19:12:08","N/A",
Bot43,"Егор Мутант (Nasc)",normal,1,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","19:07:54","19:08:33",
Bot43,"Егор Мутант (Nasc)",normal,1,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","19:08:38","19:09:51",
Bot43,"Егор Мутант (Nasc)",normal,1,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #1","1","19:09:56","19:10:13",
Bot43,"Егор Мутант (Nasc)",normal,1,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #3","1","19:10:18","19:11:25",
Bot43,"Егор Мутант (Nasc)",normal,1,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","2","19:11:30","19:12:08",
Bot43,"Егор Мутант (Nasc)",normal,1,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","2","19:12:13","19:12:27",
Bot43,"Егор Мутант (Nasc)",normal,1,Completed,"Underground North","Underground North: Objective #8","1","19:12:32","19:13:20",
Bot45,"Джонатан Верстак (hughz001)",normal,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #1","1","19:10:32","19:11:27",
Bot48,"Пул Румын (Spock)",normal,1,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","19:12:42","19:12:46",
Bot48,"Пул Румын (Spock)",normal,1,Active,"TerraGroup Garage","TerraGroup Garage: Objective #2","3","19:12:51","N/A",
