Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Tyrian",normal,21,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","15:42:16","15:42:49",
Bot1,"Tyrian",normal,21,Failed,"The Bunker - Part 2","Zone prapor_025_area_3","1","15:42:54","15:44:13",
Bot1,"Tyrian",normal,21,Completed,"The Bunker - Part 2","Zone prapor_025_area_5","1","15:44:18","15:45:20",
Bot1,"Tyrian",normal,21,Completed,"The Bunker - Part 2","Zone prapor_025_area_1","1","15:45:25","15:48:11",
Bot1,"Tyrian",normal,21,Completed,"Documents","Item Military documents #1","1","15:48:16","15:48:58",
Bot1,"Tyrian",normal,21,Completed,"Documents","Item Military documents #3","1","15:49:03","15:49:35",
Bot1,"Tyrian",normal,21,Active,"Pest Control","Zone eger_barracks_area_2","1","15:49:40","N/A",
Bot2,"ChazLTK",normal,3,Completed,"White Rook North Tank","White Rook North Tank: Objective #1","1","15:42:16","15:42:43",
Bot2,"ChazLTK",normal,3,Completed,"White Rook","White Rook: Objective #1","1","15:42:48","15:43:45",
Bot2,"ChazLTK",normal,3,Completed,"White Rook","White Rook: Objective #2","1","15:43:50","15:45:13",
Bot2,"ChazLTK",normal,3,Completed,"White Rook","White Rook: Objective #4","1","15:45:18","15:45:52",
Bot2,"ChazLTK",normal,3,Completed,"White Rook","White Rook: Objective #3","1","15:45:57","15:46:01",
Bot2,"ChazLTK",normal,3,Completed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #2","1","15:46:06","15:48:28",
Bot2,"ChazLTK",normal,3,Failed,"White Knight Rear Drop-Down","White Knight Rear Drop-Down: Objective #1","1","15:48:34","15:48:54",
Bot3,"iDkGK",easy,25,Failed,"Classified Technologies","Item T-90M Commander Control Panel","1","15:42:16","15:44:17",
Bot5,"Doge",normal,3,Pending,"White Rook Barracks","White Rook Barracks: Objective #3","1","15:42:16","N/A",
