Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot107,"notGreg",hard,11,Completed,"Scav Lands South Building","Scav Lands South Building: Objective #1","1","19:09:18","19:12:48",
Bot107,"notGreg",hard,11,Completed,"Scav Lands South Building","Scav Lands South Building: Objective #2","1","19:12:53","19:12:58",
Bot107,"notGreg",hard,11,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #2","1","19:13:03","19:13:30",
Bot107,"notGreg",hard,11,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #4","1","19:13:36","19:14:26",
Bot107,"notGreg",hard,11,Active,"Black Bishop Underground","Black Bishop Underground: Objective #5","1","19:14:31","N/A",
Bot108,"职业玩家",hard,16,Pending,"Inventory Check","Zone baraholshik_arsenal_area_5","1","19:09:19","N/A",
Bot108,"职业玩家",hard,16,Pending,"Inventory Check","Zone baraholshik_arsenal_area_4","1","19:11:24","N/A",
Bot108,"职业玩家",hard,16,Pending,"Inventory Check","Zone baraholshik_dejurniy_area_2","1","19:12:27","N/A",
Bot108,"职业玩家",hard,16,Pending,"Inventory Check","Zone baraholshik_arsenal_area_3","1","19:13:26","N/A",
Bot108,"职业玩家",hard,16,Active,"Inventory Check","Zone baraholshik_arsenal_area_1","1","19:13:46","N/A",
Bot112,"Парфений Вупсень (Swankyorc)",normal,1,Completed,"White King","White King: Objective #3","1","19:09:38","19:15:39",
Bot112,"Парфений Вупсень (Swankyorc)",normal,1,Completed,"White King","White King: Objective #11","1","19:15:44","19:16:56",
Bot112,"Парфений Вупсень (Swankyorc)",normal,1,Failed,"White King","White King: Objective #2","1","19:17:01","19:17:49",
Bot114,"Ярик Колобок (MedDeatH)",normal,1,Failed,"Hermetic Door Switch","Hermetic Door Switch: Objective #1","1","19:09:45","19:10:01",
Bot114,"Ярик Колобок (MedDeatH)",normal,1,Completed,"Command Center","Command Center: Objective #2","1","19:10:02","19:12:06",
Bot114,"Ярик Колобок (MedDeatH)",normal,1,Failed,"Command Center","Command Center: Objective #5","1","19:12:11","19:15:32",
Bot114,"Ярик Колобок (MedDeatH)",normal,1,Failed,"Command Center","Command Center: Objective #4","3","19:12:49","19:15:32",
Bot117,"Федя Травмат (kikirio)",normal,1,Active,"Black Pawn","Black Pawn: Objective #8","1","19:09:51","N/A",
Bot119,"Федосей Херпроссы (InternalError_)",normal,1,Failed,"White Pawn","White Pawn: Objective #5","1","19:09:59","19:16:55",
Bot122,"Fontaine",hard,18,Pending,"Black Pawn Roof","Black Pawn Roof: Objective #1","1","19:10:21","N/A",
Bot122,"Fontaine",hard,18,Active,"Black Pawn Roof","Black Pawn Roof: Objective #2","2","19:10:36","N/A",
Bot123,"Nikita",hard,16,Pending,"SW Tank","SW Tank: Objective #1","1","19:10:27","N/A",
Bot124,"TR_LEOPAR",hard,3,Failed,"D2 from Dome","D2 from Dome: Objective #1","1","19:10:28","19:10:29",
Bot124,"TR_LEOPAR",hard,3,Failed,"D2 from Dome","D2 from Dome: Objective #3","1","19:10:35","19:11:58",
Bot124,"TR_LEOPAR",hard,3,Pending,"D2 from Dome","D2 from Dome: Objective #2","1","19:12:03","N/A",
Bot125,"Styrr",hard,18,Pending,"Dome Buildings","Dome Buildings: Objective #1","1","19:10:33","N/A",
Bot126,"3371",hard,27,Pending,"Hermetic Door Switch","Hermetic Door Switch: Objective #1","1","19:10:33","N/A",
Bot129,"Гит Печенька (OutsiderH)",normal,1,Completed,"White Rook","White Rook: Objective #4","1","19:15:38","19:15:47",
Bot129,"Гит Печенька (OutsiderH)",normal,1,Completed,"White Rook","White Rook: Objective #2","1","19:15:52","19:18:02",
Bot129,"Гит Печенька (OutsiderH)",normal,1,Completed,"White Rook","White Rook: Objective #3","1","19:18:07","19:18:28",
Bot129,"Гит Печенька (OutsiderH)",normal,1,Active,"White Rook","White Rook: Objective #1","1","19:18:33","N/A",
Bot130,"Кирилл Сухарик (蘑菇汤)",normal,1,Failed,"Black Bishop Tech Room","Black Bishop Tech Room: Objective #1","1","19:16:00","19:16:02",
Bot134,"Паштет Кальянщик (Faupi)",normal,1,Failed,"D2 from Dome","D2 from Dome: Objective #2","1","19:18:30","19:18:58",
