Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot97,"Spock",hard,27,Failed,"Break Room","Break Room: Objective #1","1","18:59:22","19:00:07",
Bot100,"Spock",hard,22,Failed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","18:59:22","19:00:58",
Bot99,"btdc00",hard,19,Active,"Farming - Part 1","Zone place_SADOVOD_01_2","1","18:59:22","N/A",
Bot98,"notGreg",hard,26,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","18:59:22","19:00:18",
Bot102,"Гога Сынуля (Grasyl)",normal,1,Pending,"3rd Floor Office","3rd Floor Office: Objective #1","1","18:59:22","N/A",
Bot103,"PhantomInTime",hard,12,Failed,"Unloading Area Rafters","Unloading Area Rafters: Objective #1","1","18:59:22","18:59:33",
Bot104,"PaPaSamBuBu",hard,27,Active,"Scout","Zone place_pacemaker_SCOUT_03","1","18:59:22","N/A",
