Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot156,"PoppleO",hard,15,Completed,"Delivery From the Past","Item Secure Folder 0022","1","21:20:25","21:21:27",
Bot156,"PoppleO",hard,15,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","21:21:32","21:21:46",
Bot156,"PoppleO",hard,15,Completed,"Farming - Part 3","Item Package of graphics cards","1","21:21:51","21:22:02",
Bot156,"PoppleO",hard,15,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","21:22:07","21:22:26",
Bot157,"Styrr",hard,11,Failed,"Delivery From the Past","Item Secure Folder 0022","1","21:20:26","21:27:53",
Bot158,"iDkGK",hard,5,Failed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","21:20:27","21:25:35",
Bot159,"Gleneth",hard,11,Failed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","21:20:28","21:26:34",
Bot160,"Cheese",hard,7,Completed,"The Extortionist","Zone dead_posylni","1","21:20:29","21:29:01",
Bot160,"Cheese",hard,7,Failed,"The Extortionist","Item Secure Folder 0048","1","21:29:06","21:30:49",
Bot161,"BrandoTheDev",hard,9,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","21:20:30","21:22:48",
Bot161,"BrandoTheDev",hard,9,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","21:22:53","21:24:10",
Bot162,"TEOA",hard,1,Completed,"Bridge Sniping","Bridge Sniping: Objective #2","2","21:20:31","21:22:25",
Bot162,"TEOA",hard,1,Completed,"Bridge Sniping","Bridge Sniping: Objective #1","2","21:22:30","21:25:44",
Bot162,"TEOA",hard,1,Failed,"Crackhouse Area Sniping","Crackhouse Area Sniping: Objective #1","2","21:25:49","21:30:15",
