Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"YankeeNoodle742",hard,19,Completed,"BMP #1","BMP #1: Objective #1","1","15:15:13","15:15:29",
Bot1,"YankeeNoodle742",hard,19,Completed,"Scav Lands North Building","Scav Lands North Building: Objective #1","1","15:15:34","15:16:13",
Bot1,"YankeeNoodle742",hard,19,Failed,"Black Bishop Tech Room","Black Bishop Tech Room: Objective #1","2","15:16:18","15:19:48",
Bot1,"YankeeNoodle742",hard,19,Failed,"Black Bishop","Black Bishop: Objective #2","1","15:19:54","15:19:54",
Bot1,"YankeeNoodle742",hard,19,Completed,"Black Bishop","Black Bishop: Objective #8","1","15:19:59","15:20:31",
Bot1,"YankeeNoodle742",hard,19,Pending,"Black Bishop","Black Bishop: Objective #6","1","15:20:36","N/A",
Bot2,"Паша Суходрищев (Gatsu66)",normal,1,Failed,"Dome Buildings","Dome Buildings: Objective #5","1","15:15:13","15:15:13",
Bot2,"Паша Суходрищев (Gatsu66)",normal,1,Completed,"Dome Buildings","Dome Buildings: Objective #3","1","15:15:19","15:15:44",
Bot2,"Паша Суходрищев (Gatsu66)",normal,1,Pending,"Dome Buildings","Dome Buildings: Objective #6","1","15:15:49","N/A",
Bot3,"Данила Котовод (野猪)",normal,1,Failed,"Command Center","Command Center: Objective #8","1","15:15:18","15:15:52",
Bot3,"Данила Котовод (野猪)",normal,1,Failed,"Command Center","Command Center: Objective #6","1","15:15:57","15:16:20",
Bot3,"Данила Котовод (野猪)",normal,1,Active,"Command Center","Command Center: Objective #9","1","15:16:25","N/A",
Bot5,"Bepis",hard,28,Pending,"SW Tank","SW Tank: Objective #1","1","15:15:29","N/A",
Bot4,"Awafrican",hard,6,Active,"White King","White King: Objective #2","1","15:15:30","N/A",
Bot6,"Найк Суходрищев (Zmyh)",normal,1,Completed,"NW Bunkers","NW Bunkers: Objective #5","1","15:15:33","15:15:37",
Bot6,"Найк Суходрищев (Zmyh)",normal,1,Completed,"NW Bunkers","NW Bunkers: Objective #4","1","15:15:43","15:16:44",
Bot6,"Найк Суходрищев (Zmyh)",normal,1,Completed,"NW Bunkers","NW Bunkers: Objective #3","1","15:16:49","15:17:26",
Bot6,"Найк Суходрищев (Zmyh)",normal,1,Completed,"NW Bunkers","NW Bunkers: Objective #2","1","15:17:31","15:18:06",
Bot6,"Найк Суходрищев (Zmyh)",normal,1,Completed,"NW Bunkers","NW Bunkers: Objective #1","1","15:18:11","15:18:32",
Bot6,"Найк Суходрищев (Zmyh)",normal,1,Completed,"Knight Garages","Knight Garages: Objective #1","1","15:18:37","15:19:47",
Bot6,"Найк Суходрищев (Zmyh)",normal,1,Completed,"Knight Garages","Knight Garages: Objective #2","1","15:19:52","15:20:24",
Bot6,"Найк Суходрищев (Zmyh)",normal,1,Completed,"White Knight","White Knight: Objective #3","2","15:20:29","15:21:36",
Bot7,"Боря Хлыст (Refringe)",normal,1,Completed,"Train Yard","Train Yard: Objective #4","1","15:15:34","15:18:50",
Bot7,"Боря Хлыст (Refringe)",normal,1,Active,"Train Yard","Train Yard: Objective #1","1","15:18:55","N/A",
Bot9,"Парфений Татарин (DanCam38)",normal,1,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","15:15:35","15:15:39",
